"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"321","RFX8",179.850481500528,0.903440787851291,0.202072885369803,2.74103724952828e-07,2.99678971553103e-06,"ENSG00000196460"
"322","MRPL39",167.917801000872,0.901727121857227,0.121432817145414,4.54279026631355e-15,1.66915093785121e-13,"ENSG00000154719"
"323","DLEU1",136.709245661408,0.901310478423961,0.114594995455734,1.51782742762403e-16,6.65902284665077e-15,"ENSG00000176124"
"324","TP53BP2",4841.07696962417,0.900368883648365,0.0898340228901767,5.34210171285348e-25,6.86994280272957e-23,"ENSG00000143514"
"325","SNX10",1839.51414023755,0.895779490500761,0.106435923379491,1.60271235491874e-18,8.81748914834436e-17,"ENSG00000086300"
"326","CETP",66.174031521799,0.894808468607622,0.165625636354392,2.39809995286091e-09,3.77024143323108e-08,"ENSG00000087237"
"327","COA1",125.342867644896,0.886174110803838,0.142007655757359,1.61818952184877e-11,3.56868891763775e-10,"ENSG00000106603"
"328","GRAMD1A",2599.32173863004,0.883276808673145,0.124712860341136,5.35521738863832e-14,1.68227409142935e-12,"ENSG00000089351"
"329","AFF3",244.084065590616,0.883275290602943,0.165626951091589,3.46299680617576e-09,5.26252749511614e-08,"ENSG00000144218"
"330","BASP1",7190.66838334782,0.882685613946936,0.172627032322898,1.12665076236326e-08,1.56953054071675e-07,"ENSG00000176788"
"331","ETS2",2359.83288336258,0.8808657521251,0.11631616491299,1.38967664582997e-15,5.36472545302017e-14,"ENSG00000157557"
"332","HSPA2",89.8627951782857,0.878645753441489,0.18507997468339,7.22950913285055e-08,8.8386440830382e-07,"ENSG00000126803"
"333","NFIL3",4615.99549813328,0.875850993910013,0.0885660620808779,1.83320117087807e-24,2.1803437741033e-22,"ENSG00000165030"
"334","C15orf48",156.096637708203,0.870591387055429,0.188538464023814,1.35126388489162e-07,1.5584980771037e-06,"ENSG00000166920"
"335","PRKCH",1155.40623552313,0.868837903551613,0.136783041798776,7.61639132938827e-12,1.78287676898172e-10,"ENSG00000027075"
"336","PHF11",927.485029263377,0.867399966650774,0.0870862411382986,8.70512560503662e-25,1.079016050899e-22,"ENSG00000136147"
"337","PDYN-AS1",225.746270220751,0.866619972885501,0.173375291778045,2.01966034448865e-08,2.70726587936146e-07,"ENSG00000233896"
"338","CUBN",299.569272331973,0.865964849946308,0.134916343382301,4.90607973958603e-12,1.19606038769813e-10,"ENSG00000107611"
"339","PSTPIP2",2100.04975043871,0.865777646051142,0.121491646912402,3.72560185100303e-14,1.20342203589071e-12,"ENSG00000152229"
"340","ASTL",273.623916913011,0.864253878217883,0.154146478827886,7.24329946496088e-10,1.24509715781984e-08,"ENSG00000188886"
"341","RNF144A",72.550511109894,0.863286476767263,0.173348771541324,2.21612699928502e-08,2.94948442026446e-07,"ENSG00000151692"
"342","TRIP10",276.431369362887,0.861930548726952,0.148202810376016,2.11658131407815e-10,4.01389650861494e-09,"ENSG00000125733"
"343","ZFC3H1",3394.68610139262,0.861264370677411,0.0645836229218406,5.5588293085407e-42,5.71892359262667e-39,"ENSG00000133858"
