	baseMean	log2FoldChange	lfcSE	pvalue	padj
UGP2	999.54144667915	0.222313231643572	0.0837059347168991	0.0013508750237924	0.00661642572948164
SDCBP	12427.1426349833	0.222015992536609	0.0653616372228838	0.000110631529873632	0.000716510657437786
LINC02062	182.687042107967	0.220964702846634	0.0856928380426866	0.00171544053070825	0.00810602386204391
AP001000.1	219.369219019698	0.220601752437208	0.0875031230329587	0.00204039743159302	0.00941538855179589
BZW1	2499.9436161652	0.220534185619723	0.0705822104040669	0.000293149749882398	0.00171505523274957
FMR1	598.057115927595	0.220397058765397	0.0698349239144279	0.000262834538705347	0.00155628301248956
PRPF19	715.013697371019	0.220215700495232	0.0727947890299785	0.000411901940491347	0.002314068624425
HDAC6	432.841836279631	0.219245287923494	0.0752503561880981	0.000598475206939345	0.00322530797747092
CDK16	708.460103794849	0.217815940439244	0.0844968099858228	0.00173252170218615	0.00817623085875741
MSL3	882.246405924157	0.21575187826092	0.0609277730379407	6.45178206132525e-05	0.000441476114711767
METTL21A	283.261419049339	0.21478689413744	0.083859134317572	0.00183551699615912	0.00859135525772748
UBB	1266.60809048494	0.213540452276288	0.0700698462756974	0.00038602843691605	0.00217793285384827
EDEM1	4430.4652488587	0.209461531170503	0.0779926808255864	0.00127067429146047	0.00625937137205904
MYO1G	9719.70555952444	0.207211700366428	0.0576240410867645	5.26649681690421e-05	0.000368834031669915
PWWP2A	474.377626620753	0.207088194988377	0.0739054064827958	0.00088407534528114	0.00454541087069084
UBE2J1	7662.36200280121	0.203429989747697	0.065213064257675	0.000308005477112514	0.00178975450354902
NXF1	2258.07510865792	0.202224852462096	0.0785872765081188	0.00183806771319026	0.00859938182505749
KYAT3	319.353868447508	0.201437228798208	0.078667600179752	0.00191529672481121	0.00890602156151763
NSUN2	930.981332353468	0.201410929563441	0.0715222945530517	0.000859350592955691	0.00443042257272498
PNISR	867.702967094484	0.201198060229655	0.0635602838043338	0.000263657327112989	0.00155935992028654
RBM22	1448.76431435063	0.19786909088837	0.0444554895143231	1.35823146964376e-06	1.30593321118645e-05
CEP120	190.42639481707	0.196808642886793	0.0711191099864203	0.00102137188265135	0.00515218138206282
SPPL2A	1377.31150881295	0.196369819481369	0.0740591932897283	0.00147477071042735	0.00713158217103481
HNRNPH1	3270.07882238774	0.195752570392296	0.0647186670343311	0.000437360215804084	0.00244010949034296
PLAA	1290.0973461109	0.195321449135748	0.0458482858841974	3.2844681441943e-06	2.92812896598536e-05
GMPR2	600.022161760117	0.194773470296975	0.0490898184617491	1.1856990282588e-05	9.48928168240104e-05
MPP1	3631.32247574413	0.194646770450445	0.0523050083354627	3.28807194769629e-05	0.000239403285193909
BAG1	903.879199555067	0.193047401368408	0.0695550092325989	0.00100930680837732	0.00509882074372005
CREG1	3773.54279442849	0.191555845479518	0.0565544085764592	0.000121521844900848	0.000781141356038691
RAP1B	4562.18120472168	0.189781617376712	0.069739507747434	0.00121627431849795	0.00602983458285227
UEVLD	336.57808024363	0.187624649143586	0.0600051807025577	0.000316920747525288	0.00183327559771727
SQOR	1676.83737036886	0.186298300979215	0.0602241171805254	0.00035827995071108	0.00204379491705883
ATF6	2681.36096314675	0.186204451580146	0.0529263948636872	7.54882819841901e-05	0.00050851892118555
RP2	3555.10154430415	0.18509427624154	0.0665661271485494	0.00102786904508423	0.00518114489751422
OCRL	252.57897863395	0.184153079544401	0.0634930066005027	0.000697891249785806	0.00369431704543163
UBAP1	4733.84047689643	0.183219900740818	0.0538295442431917	0.000118289481912133	0.000762030175273652
TTC17	1148.7635958928	0.182075608857665	0.0671240163525652	0.00129686331821252	0.00637554338601483
HNRNPA3	610.486471654696	0.181917196615467	0.068166873622442	0.00148998951104969	0.00718931473703804
ELOVL5	2937.77690576315	0.180066303980839	0.0471160147078362	2.31250099019108e-05	0.000173593653316934
CYCS	636.954434792867	0.177396451826886	0.0678071256936788	0.00179760132261537	0.00843499311610807
ING3	556.274318515881	0.175918442411895	0.0559418534999625	0.000316107807703756	0.00183046121203307
ZNF76	352.199499907569	0.174583998981946	0.0538259185656369	0.000223915593112448	0.00134834276964639
SPATA5L1	285.028075262196	0.174411896872334	0.0635072147247474	0.00121559167470221	0.00602983458285227
CD53	15388.501964124	0.171178211819504	0.0443922616158104	2.11666320999997e-05	0.000160414225447364
DARS	558.613311739775	0.170988250084391	0.0585280908067845	0.000701458556200245	0.00371098626508678
OAZ2	2152.9094791371	0.167638333120228	0.0484932526655621	0.000106408788319867	0.000692212212604992
PICALM	8242.06623497657	0.167240755664527	0.0523972473233987	0.000283404828099502	0.00166514498657206
RAB1A	3214.13537847602	0.166423261404421	0.0616175924186266	0.00147924465029834	0.00714817706071833
FNBP4	721.919636423644	0.166179477890344	0.0640627458334091	0.00206486228744344	0.00950908827807438
UCKL1	254.719526049061	0.165902408197898	0.0590917066115094	0.0010565016357979	0.00531588041821262
ACTR3	9716.72229355911	0.165520415506831	0.0636535059567859	0.00203460080215174	0.00939285306373662
USO1	851.506190664923	0.16537995201501	0.0610573290173519	0.00145457789049015	0.00704587552576746
NELFE	1052.70052823479	0.164580343014547	0.0441132770830456	3.7202644854258e-05	0.000267931963780613
RTN4	7138.97521587222	0.164135894900804	0.0563942049645594	0.000763870640615115	0.00398918840134431
MLH1	615.820132055834	0.163858682402746	0.0588756357073336	0.00116033640110757	0.00577949208162414
DESI1	1174.30047406201	0.163648773779318	0.0584789347741699	0.001106364686628	0.00553343699369415
KAT2B	1012.50522613639	0.162050742512127	0.0599248797994885	0.00151160033249249	0.00727378120705458
YME1L1	2811.02492074164	0.161518610745271	0.0566778611852173	0.000952153881060254	0.00484698620897966
PLEKHB2	4727.26906826655	0.160688422935789	0.0547610182088635	0.000725056858712447	0.00381261689876497
SPG11	1802.34960347594	0.159145172753049	0.0543218084372624	0.000745942960583838	0.0039104515559167
ATP6AP2	3306.6526138824	0.159093628418148	0.0588480845949894	0.0015508213837196	0.00744272054869845
CYFIP1	4023.59153861129	0.158883593739004	0.0593024428290597	0.00167593061897496	0.00794377987008265
SOAT1	1802.1509014746	0.157661469634612	0.0470730501577142	0.000173175693596692	0.00107069202867955
ARF1	11010.5609713738	0.157579661474383	0.0461222904763664	0.000134880843748761	0.000858431253007892
GPR108	1160.18448256779	0.156203120668785	0.0507306224009701	0.000461139758529542	0.00256028377536531
RPIA	298.649271367496	0.154661607281796	0.0485068161956169	0.000318964075564868	0.00184405867345398
SENP2	785.872181572111	0.149032285845309	0.0469491563287926	0.000354715008072112	0.00202852029074257
C6orf62	5308.58248638615	0.147958882503099	0.0499407595141899	0.000741531316801747	0.00388930623872362
ADPGK	2498.77390792647	0.142548099262728	0.0532396965406583	0.00195776148052307	0.00906455900613021
YWHAE	5000.1230469764	0.137935400063213	0.050409410807888	0.00171430844232245	0.00810514947362744
OSTM1	1083.75939369765	0.136802740614057	0.050479654248982	0.00188354078041368	0.00877620812902896
ANXA2	15211.6274301702	0.127706926607569	0.0383386209615341	0.000263430069216521	0.00155891202306561
ARHGAP4	1890.13247022683	0.119989054283176	0.0437085353175687	0.00207783832461536	0.0095624248193437
DYRK1A	4556.72396561371	0.115084905199888	0.0405591691695361	0.00166745615547028	0.00790725463354609
PHC3	1209.7387725306	-0.111447722181237	0.0393885308050586	0.00179865702437268	0.00843802255665578
