"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"738","VIRMA",627.821358503458,-0.375555226044023,0.0557701754351165,4.88586890837662e-12,1.19396245437954e-10,"ENSG00000164944"
"739","PPIF",15778.1039526492,-0.375343566241574,0.134079237300368,0.000671325811995209,0.00356903267887736,"ENSG00000108179"
"740","LCMT2",75.0775824599221,-0.375141306065692,0.0935023750331644,1.14857932717664e-05,9.22691421906406e-05,"ENSG00000168806"
"741","RPS6KB1",155.069345211739,-0.375132255482587,0.0688533593274118,1.31943659550948e-08,1.81840103075707e-07,"ENSG00000108443"
"742","SEC24D",1885.10829883799,-0.374479413390221,0.0848285731751267,2.15387411487133e-06,1.99451457189886e-05,"ENSG00000150961"
"743","NFE2L1",1378.42908276083,-0.374379552626782,0.131658592060556,0.00059405785514651,0.00320456208407745,"ENSG00000082641"
"744","PSKH1",158.058187095643,-0.374232005837124,0.0585750776402802,4.82372270071274e-11,9.98520304727016e-10,"ENSG00000159792"
"745","DNMBP",623.163286760646,-0.374213799834464,0.116537994543239,0.000196997397467811,0.0012017681972512,"ENSG00000107554"
"746","NKAPD1",240.28818375888,-0.374079851993091,0.0685317782711155,1.24957491795127e-08,1.72674637419511e-07,"ENSG00000150776"
"747","MRPL10",278.742244191616,-0.373962486477561,0.0867110153525197,3.34665052244529e-06,2.97840316392017e-05,"ENSG00000159111"
"748","TTC7A",1720.18539857596,-0.373342321363707,0.0712112458255113,3.98761951110441e-08,5.06789740954196e-07,"ENSG00000068724"
"749","TAF4",261.51434110432,-0.373228974355074,0.0779090344878497,3.8590771550862e-07,4.10995711920567e-06,"ENSG00000130699"
"750","SDAD1",187.534841169069,-0.373210394780245,0.072658644501567,6.93277464911061e-08,8.51126319690334e-07,"ENSG00000198301"
"751","YTHDF2",793.902378623672,-0.372686095807223,0.0565562111061226,1.29741430165809e-11,2.92714875777598e-10,"ENSG00000198492"
